GeneName,X10.CR.RNA,X11.WTS.RNA,X12.EA.RNA,X13.CL.RNA,X14.KD.RNA,X15.SJ.RNA,X16.HZ.RNA,X17.CE.RNA,X18.RL.RNA,X19.DR.RNA,X1.VT.RNA,X20.MCC.RNA,X2.LN.RNA,X3.AS.RNA,X4.TL.RNA,X5.BE.RNA,X6.HA.RNA,X7.HH.RNA,X8.CN.RNA,X9.GC.RNA
PLAC9,6284,4147,7859,5616,9129,2789,3641,5503,9214,8683,3061,8481,4609,8248,11429,6619,8205,7368,4115,3143
ANXA11,18148,20398,24337,26006,29010,24139,21821,29869,22936,27084,26926,24524,21563,34625,25811,19228,31635,29440,18399,16980
LINC00857,86,68,83,79,197,235,145,233,34,107,81,271,147,83,151,66,240,114,187,160
RPS12P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RP11-40F6.1,0,1,0,1,0,0,0,2,2,0,1,0,0,0,1,2,0,1,2,0
EIF5AP4,4,4,6,3,4,5,1,7,2,0,5,7,1,5,4,1,3,9,6,5
RP11-36D19.9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MAT1A,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,1,0,0,0,0
ZNF519P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
FAM213A,19,73,18,4,0,63,32,40,213,34,191,28,55,37,26,62,43,27,834,77
TSPAN14,507,1226,1273,1257,1384,1642,716,2759,1875,1097,4037,1190,1170,1688,1339,1361,1018,1229,3225,1164
RP11-137H2.4,1,0,0,0,2,1,1,1,0,0,2,2,1,0,0,0,2,5,0,0
SH2D4B,0,2,2,1,0,2,0,1,0,2,8,1,0,1,2,0,0,1,2,2
RPS7P9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FARSBP1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RPA2P2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NRG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RNU6-478P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MARK2P15,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
RP11-219F10.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGN2P8,0,2,0,1,0,2,0,3,1,1,0,0,0,2,0,0,2,0,0,2
RP11-338I21.1,0,6,3,1,3,4,5,7,2,2,3,1,4,1,1,2,2,9,3,3
GHITM,5770,9767,9574,9197,9636,8272,7918,13538,6116,8564,12724,8699,11882,12963,7224,4651,10658,9009,9164,10413
C10orf99,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CDHR1,0,8,0,0,3,0,0,2,6,6,0,4,0,2,4,0,2,2,2,0
LRIT2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,4,0,0
LRIT1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RGR,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
LINC00858,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CCSER2,991,2155,1529,1640,1851,1709,1532,3278,1196,1342,2082,1716,2153,2783,1386,959,1928,1669,1747,1918
TNPO1P1,26,2,5,8,6,9,3,0,24,12,3,13,10,6,21,25,2,6,1,14
CACYBPP1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
RPS3AP5,41,69,76,66,84,80,64,48,76,74,311,74,48,58,64,72,83,64,60,68
LINC01519,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
RP11-475D12.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LINC01520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-113E21.2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
RP11-113E21.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1-AS1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
GRID1,13,107,25,17,6,7,10,2,31,17,1,10,52,11,6,34,12,68,1,64
RP11-93H12.4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2
RP11-93H12.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WAPL,830,3185,1860,2165,1827,1890,2001,2922,1160,1334,2750,1880,3109,3588,1698,1080,2029,2002,2097,1859
RP11-77P6.2,39,30,55,39,33,48,27,36,69,23,54,44,32,42,39,49,43,37,58,32
RPL7AP8,0,0,0,0,0,1,0,2,0,0,4,0,1,3,2,2,4,0,0,2
OPN4,0,0,0,0,8,1,0,0,0,4,0,4,2,2,3,0,0,0,0,2
LDB3,9,2,28,30,145,15,18,49,40,19,24,26,19,48,14,13,20,27,24,27
RP11-359E3.4,46,50,54,78,59,82,59,102,87,50,59,45,50,72,63,38,59,58,43,49
BMPR1A,623,1864,1512,1872,1263,1269,1592,2333,1272,990,2321,1620,1845,2473,1022,1328,1634,1486,1704,1529
RPAP2P1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
RNU1-19P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
MMRN2,18,76,69,51,115,76,151,390,56,28,37,70,527,219,54,39,33,87,27,46
RP11-411A19.5,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,5,0,2,0,0
SNCG,232,26,540,613,824,402,353,456,578,919,309,483,289,1177,648,506,709,1300,463,147
ADIRF-AS1,80,192,160,113,140,221,123,190,42,57,246,131,226,163,100,62,119,125,107,91
BMS1P3,0,0,0,1,0,2,2,3,0,0,1,0,2,4,0,0,0,0,0,0
RP11-96C23.11,10,26,12,12,11,31,32,72,4,9,22,14,50,78,33,12,12,22,5,5
FAM25A,2,2,0,0,0,0,0,0,0,0,3,0,0,6,2,0,0,2,0,1
RNU6-529P,16,10,12,8,9,8,10,9,19,5,7,16,12,12,11,21,11,17,6,14
GLUD1,4241,13433,8464,6457,7825,8282,11132,14993,5913,6746,11020,10013,11505,13040,7114,5930,7653,8270,7496,8081
FAM35A,682,2048,1447,1330,1289,1400,1387,1860,822,1125,2139,1315,2540,1971,1053,555,1735,1531,2102,1536
RP11-96C23.9,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0
RN7SL733P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NUTM2A-AS1,290,660,479,515,546,452,520,800,177,473,613,216,977,728,371,375,566,508,563,501
NUTM2A,27,12,47,15,36,18,14,80,23,26,19,27,34,21,5,39,52,45,25,20
LINC00863,56,110,117,97,144,135,151,207,59,137,128,41,154,169,95,101,127,153,193,103
NUTM2D,64,65,44,71,48,48,57,96,22,24,66,38,58,71,71,74,46,67,65,73
NPAP1P3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
CTSLP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MINPP1,425,1605,1176,1720,1020,1213,1371,2335,753,1063,2315,1166,1935,2648,840,593,1290,1408,1705,1444
RP11-57C13.6,0,0,5,4,3,8,4,3,3,7,4,3,0,1,0,1,3,1,7,4
RPS26P38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAPSS2,656,1889,3224,3542,5231,3271,4275,5303,1059,2330,4332,3348,4243,5072,1086,711,3018,3239,5504,2476
ATAD1,1228,2563,2161,2124,2370,2114,1915,3984,1575,1733,3096,1950,3010,3069,1616,994,2484,2051,2480,2685
CFL1P1,6,2,1,4,1,1,1,10,0,1,9,2,5,6,8,3,3,5,2,5
KLLN,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PTEN,170,909,622,558,561,649,502,1509,238,388,756,592,843,733,387,339,596,583,613,670
RP11-380G5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RPL11P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP11-129G17.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RNLS,75,148,128,315,206,196,239,219,90,134,343,215,181,335,146,66,246,224,193,195
LIPJ,0,0,0,0,1,0,0,1,0,0,0,2,0,2,1,0,1,0,0,0
LIPF,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
NAPGP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KRT8P38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
LIPN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
LIPM,0,0,0,12,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
ANKRD22,2,5,7,2,6,0,0,9,0,0,10,4,0,2,0,2,0,0,20,8
PTCD2P2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
STAMBPL1,327,638,303,682,425,568,567,1639,260,215,1476,299,812,942,395,100,790,764,1150,899
ACTA2-AS1,4,1,10,11,63,3,10,0,9,8,5,6,2,14,18,9,7,8,14,15
ACTA2,721,900,7122,4734,19069,1720,3856,2669,1711,2582,1889,1599,1102,6716,4046,937,4366,3952,2615,3607
FAS,490,2894,1328,2120,1714,2115,2189,3527,674,1101,3105,1110,3961,3815,1417,594,2346,1986,2583,2111
FAS-AS1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
RP11-399O19.9,79,137,110,192,131,130,142,163,114,156,148,97,248,217,164,85,143,117,203,192
RP11-341B24.3,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
CH25H,2000,279,1624,1183,194,474,750,1318,1809,1174,252,1236,541,1355,765,2167,1205,289,208,3295
LIPA,1134,2474,3301,3729,4120,2814,1906,9122,2976,2339,5401,2195,2453,4428,3074,1178,3144,4283,1989,1820
IFIT2,4,12,38,32,194,98,44,643,32,25,52,23,28,74,28,15,52,80,10,24
RP11-149I23.3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
IFIT3,436,782,900,687,1961,1971,1058,1922,1213,637,674,744,1060,771,841,873,1141,1117,603,584
IFIT6P,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
IFIT1B,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0
IFIT1,40,78,335,636,450,374,258,418,233,104,328,197,124,217,144,116,243,509,125,129
IFIT5,414,974,1189,1142,1346,986,1020,1121,929,737,1498,1022,1084,1512,1041,850,1154,1199,1155,1001
SLC16A12,0,0,2,0,56,0,0,6,0,2,4,7,2,8,0,0,0,4,0,0
SLC16A12-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
PANK1,172,191,377,338,239,243,231,259,293,279,477,318,290,373,195,194,312,259,460,263
MIR107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP11-80H5.2,0,0,4,1,0,1,0,0,0,3,4,1,2,0,2,0,1,0,4,0
RP11-80H5.6,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
RP11-80H5.9,0,0,0,2,2,2,6,3,0,2,0,4,4,0,2,0,1,4,6,0
RP11-80H5.7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,1
KIF20B,1310,3930,1144,558,1360,3400,2030,1857,1221,853,2049,1321,4476,1389,973,716,1557,612,2632,3000
LINC00865,4,2,0,0,4,2,1,39,7,0,7,18,4,7,4,4,19,2,10,4
SNRPD2P1,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0
RP11-94M14.2,0,0,0,0,10,0,0,0,0,0,2,6,0,0,0,1,4,0,0,0
RP11-94M14.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-30G13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
HTR7,22,87,101,38,104,170,12,102,19,37,171,18,87,41,4,10,35,24,520,126
RPP30,769,1825,1360,1191,1496,1722,1383,1480,1059,1296,1816,1268,1877,1490,1130,847,1579,1107,1959,1905
ANKRD1,225,313,4201,4708,5610,164,749,567,71,1090,469,293,227,865,270,35,1328,590,460,619
RP11-236B18.2,2,2,26,2,36,0,0,2,0,2,0,2,0,13,24,2,11,0,1,0
RP11-236B18.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DDX18P6,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0
NUDT9P1,0,7,3,14,10,5,5,6,2,4,6,3,4,3,1,2,6,0,16,0
PCGF5,1004,3096,3203,2505,3082,1957,1882,3646,1122,1525,3091,2087,2792,3143,1526,971,3054,2707,2298,1867
HECTD2,135,433,436,492,230,304,253,533,192,185,501,237,485,626,201,176,356,386,430,435
RP11-108M11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PPP1R3C,1061,548,3423,3952,1093,3036,800,6957,1620,1636,1332,2046,1368,2406,870,1840,1742,2375,4174,3504
GAPDHP28,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
FAF2P1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
TNKS2-AS1,12,10,16,10,14,9,17,14,8,4,3,9,11,11,6,7,19,4,11,16
TNKS2,448,2715,1398,1458,1386,1341,1321,3745,618,880,2528,1170,2462,3201,1101,524,1381,1355,1808,1598
SRP9P1,1,6,1,4,1,3,0,7,0,1,8,7,7,5,0,0,3,1,4,6
FGFBP3,52,79,167,96,65,52,40,101,71,98,105,107,104,119,84,82,60,43,146,76
RP11-402D21.2,2,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,3,2
BTAF1,378,1000,690,862,585,482,520,1114,404,464,1043,580,1057,1268,797,365,714,757,835,725
CPEB3,61,77,95,77,60,45,59,64,57,34,68,91,84,66,50,59,56,80,104,82
SDHCP2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NHP2P1,6,12,10,8,23,34,11,17,12,10,29,24,17,14,6,8,16,16,26,8
MARCH5,730,3043,2151,2446,2028,1838,1918,3032,1140,1330,3379,2043,2955,3435,1249,936,2393,2028,2495,1965
MARK2P9,0,2,1,4,3,2,0,0,2,0,8,0,0,4,2,0,2,4,5,2
IDE,1236,1699,1856,1730,2046,1762,1472,3001,1573,1539,2848,1731,2154,2631,1632,1058,1911,1778,2474,2060
KIF11,440,5460,993,565,1186,2507,1836,2451,640,506,2171,896,5225,1654,698,293,1267,491,2533,2530
RN7SL644P,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF2S2P3,6,4,13,5,13,15,0,9,10,9,12,16,8,4,5,8,12,7,4,7
HHEX,2,28,4,23,48,22,18,57,14,2,138,30,0,8,16,0,2,6,12,8
EXOC6,90,204,161,162,313,68,187,239,102,82,203,131,216,197,128,98,113,116,169,181
CYP26C1,8,3,5,8,6,2,2,7,3,2,5,3,2,1,9,0,9,2,2,2
RP11-348J12.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP26A1,4,2,0,0,0,0,2,2,0,0,0,2,4,0,2,0,0,2,0,0
XRCC6P1,1,5,0,0,7,3,2,0,2,3,2,4,2,7,2,10,0,0,4,0
RPL17P34,0,6,8,8,7,2,3,4,10,7,15,11,10,6,13,13,8,8,6,1
MYOF,1507,8673,8097,14061,9648,5637,9558,20977,2329,5681,15945,5430,10977,20805,4494,2013,8170,9847,6380,6275
CEP55,192,5092,410,428,753,2274,1395,2313,217,259,1550,510,3845,1529,343,105,991,382,1609,1719
RNA5SP323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FFAR4,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
RBP4,137,54,56,24,50,65,23,42,72,25,30,56,41,32,36,23,66,39,35,38
PDE6C,6,3,2,0,4,3,2,1,7,2,3,4,7,6,0,4,1,0,3,2
FRA10AC1,2559,1781,2409,1822,1706,1771,1606,1968,2859,2753,3005,2261,2216,1976,2407,2202,2441,2720,2541,2367
LGI1,4,2,0,0,0,0,2,0,2,1,0,12,2,0,0,4,0,2,0,0
RP11-437J2.3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,2,0,0
RP11-437J2.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAB11AP1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SLC35G1,172,315,251,293,204,214,215,259,199,213,309,246,302,372,176,206,303,337,342,252
PIPSL,16,10,32,40,24,58,24,18,14,20,38,19,12,24,20,18,20,46,42,26
PLCE1,366,418,284,580,345,472,257,731,360,232,501,255,407,1412,698,223,616,844,422,265
PLCE1-AS2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
HDAC1P1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
RP11-391J2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
PLCE1-AS1,8,1,13,34,12,6,5,11,18,2,10,0,0,8,11,3,41,25,6,4
RP11-76P2.4,8,4,4,6,6,6,5,2,9,16,6,16,18,9,20,18,24,4,16,3
NOC3L,740,1660,924,856,847,1078,989,1176,853,742,1495,1080,1628,1643,813,727,1374,1121,1309,1455
TBC1D12,253,854,582,566,518,497,565,968,286,361,724,568,789,1219,502,290,604,848,492,524
HELLS,287,2103,426,240,436,966,541,701,541,250,883,357,1806,686,437,214,446,283,1411,1263
RP11-119K6.6,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0
CYP2C18,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0
CYP2C19,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
RPL7AP52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CYP2C9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
RP11-208C17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CYP2C8,2,2,0,0,0,2,0,1,0,0,0,0,5,0,0,0,2,2,0,0
RP11-310E22.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2
ACSM6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
RP11-310E22.4,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,2,0,0
PDLIM1,2590,6346,8825,8245,8923,6919,4717,4561,5877,7938,4265,8023,8130,5208,5385,6789,8933,7223,2614,6147
SORBS1,23,28,6,20,40,8,10,23,8,5,30,8,26,10,40,10,42,40,16,33
RPS3AP36,0,2,4,3,0,2,5,2,2,2,4,0,0,4,0,2,2,2,0,4
ALDH18A1,1479,3887,3957,5591,3811,2759,3085,5447,2140,3544,6159,3583,4187,6589,2584,1276,4237,3859,4463,3952
TCTN3,1428,3160,2806,3112,3077,2938,2825,3686,2257,2485,3509,2396,3688,4767,2389,1376,2933,3085,3279,2537
ENTPD1,211,282,241,253,388,220,144,222,331,173,267,248,378,205,227,198,227,252,344,578
ENTPD1-AS1,30,104,50,49,62,33,49,88,25,26,54,50,56,70,29,18,44,45,46,60
RP11-429G19.3,23,76,23,24,58,45,32,69,9,20,54,33,86,39,35,18,35,38,76,89
CC2D2B,1,3,2,1,0,5,2,2,1,6,7,6,1,3,6,4,1,0,3,3
RPL21P90,6,0,2,0,0,0,2,2,4,3,0,1,0,0,2,0,2,2,0,1
CCNJ,116,595,298,246,252,122,199,423,149,167,428,222,512,590,241,133,330,337,315,276
ZNF518A,162,466,229,275,229,290,214,518,204,231,348,244,409,403,238,158,318,322,349,355
NPM1P25,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0
RP11-35J23.1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
DNTT,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
OPALIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0
TLL2,76,11,19,27,67,83,62,198,73,105,211,27,65,305,70,29,45,52,93,75
TM9SF3,5844,12557,10280,9909,10465,10119,9278,17134,7297,8545,16203,9614,14923,16903,9017,6073,11729,10832,12539,10925
NPM1P26,0,8,0,1,2,1,1,4,2,1,5,3,0,3,0,0,3,0,3,2
PIK3AP1,2,0,2,0,0,0,0,2,0,0,8,0,2,2,0,2,2,6,4,2
RPS2P36,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RPL13AP5,1565,888,1968,1836,1346,1553,1223,1086,1857,1822,2102,1788,883,950,1080,2534,1765,1579,1869,1608
LCOR,1055,1826,1387,866,1312,1342,1179,1702,1476,1065,1792,1862,1544,1832,1958,1107,1872,1469,1726,1532
SLIT1,3,8,4,3,15,6,8,11,3,2,4,7,11,8,15,0,2,3,2,14
ARHGAP19,172,1464,425,324,412,601,469,855,294,257,542,398,1327,573,334,130,340,283,613,700
RPL12P27,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0
FRAT1,39,52,36,34,42,168,50,324,82,54,86,54,80,48,46,34,44,74,44,96
FRAT2,86,271,166,123,161,318,120,488,158,146,206,241,298,133,71,114,199,87,212,225
RP11-452K12.4,1,0,1,0,1,2,6,2,0,2,1,2,3,2,0,0,0,2,0,6
RRP12,4416,3509,4569,4093,4516,3983,3123,2822,5177,4754,4024,4315,4409,4326,3969,4841,5229,4130,5343,5272
RPL34P20,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0
PGAM1,5098,15276,12023,12728,10944,11918,9656,16651,7261,8155,12764,10745,14521,13754,7918,6087,13735,10815,13361,11219
EXOSC1,983,1001,1236,1334,1350,1360,1214,1149,953,1367,1739,1287,1416,1476,1029,706,1596,1312,1664,1551
ZDHHC16,1526,2771,2608,2708,2937,3344,2577,3588,1973,2350,3302,2440,3169,3178,2101,1536,2849,2340,3606,2674
MMS19,1278,2389,2215,2141,2240,2831,2355,3437,1607,2282,3975,2431,3015,3123,2180,1484,2553,2346,3129,2449
UBTD1,3098,1677,5223,5399,5077,3501,3427,4137,4711,5279,4773,5057,2601,4853,3559,3958,5480,5450,4067,4026
ANKRD2,20,49,48,156,1,100,38,97,119,46,31,108,166,14,148,37,74,79,48,53
HOGA1,18,9,6,32,30,18,22,28,22,21,35,23,12,48,53,11,46,58,29,9
C10orf62,0,0,2,0,2,0,0,0,2,0,1,2,0,0,2,2,0,2,0,2
MORN4,230,260,443,445,658,323,547,832,371,398,686,431,411,908,511,346,597,579,645,517
PI4K2A,1886,3275,3165,3071,3676,4128,4217,6184,2888,3458,3916,3525,4124,5223,3527,2219,4671,4042,4008,3234
AVPI1,1276,2070,3100,3573,3518,1869,2803,2792,2317,2663,2429,4292,1841,3491,3499,2776,3239,3128,1718,1611
MARVELD1,8717,11050,15899,13460,17729,17960,11043,18242,13073,13828,16667,11540,14055,15670,10576,7194,13360,12758,17407,12774
ZFYVE27,1656,1779,2503,2030,2349,1586,1535,2213,2259,1963,2275,2108,2554,3319,2383,1601,2545,1909,2412,1904
GOLGA7B,20,14,6,2,8,6,2,3,10,6,9,6,10,14,10,20,6,6,6,23
CRTAC1,12,13,4,6,0,2,5,4,4,4,10,1,2,4,0,12,2,0,2,8
R3HCC1L,330,779,628,558,499,504,574,1006,481,510,704,514,832,722,368,445,618,412,601,629
LOXL4,3176,3464,13159,7707,7267,2945,32450,31779,6106,18245,7507,7604,7533,19646,12060,5680,7076,12377,1060,2536
RP11-34A14.3,0,5,1,0,2,2,13,8,1,1,3,2,7,9,6,2,2,6,0,1
PYROXD2,64,203,183,297,135,135,651,559,209,427,282,460,121,454,376,267,319,238,263,180
HPS1,2631,4033,4831,5178,4661,3787,5369,7671,4352,5451,5254,4926,4290,8149,4953,3856,4510,4821,3602,3070
HPSE2,2,0,0,0,4,0,2,0,4,2,2,2,2,2,0,0,0,2,0,2
ARL5AP2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CNNM1,84,31,45,2,20,34,95,48,85,41,6,33,96,40,18,46,48,24,26,46
GOT1,1523,3607,2619,1834,2929,2043,2139,3626,1176,2210,2487,2149,4164,2791,1619,905,2538,1687,1833,3407
RP11-441O15.3,18,14,36,18,11,11,11,6,30,17,22,16,13,12,18,14,5,6,10,16
RP11-129J12.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NKX2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SLC25A28,626,1678,1186,1103,1251,1309,1237,1628,855,962,1430,1117,1760,1652,1295,954,1333,1437,1151,1265
RP11-85A1.3,0,1,4,8,9,2,3,0,29,8,9,4,4,14,5,5,7,3,4,6
RP11-483F11.7,1,2,4,2,0,4,4,2,2,1,6,5,2,2,3,0,5,1,0,2
ENTPD7,131,760,440,485,345,255,229,519,197,205,553,290,623,685,188,147,408,347,430,330
EBAG9P1,3,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0
CUTC,389,942,749,753,762,1187,698,939,493,557,857,730,1168,1020,581,494,579,711,812,1145
COX15,962,1284,1125,1309,1291,1772,1223,2589,1088,1058,1748,1204,1510,1994,1188,816,1692,1437,1610,1480
ABCC2,0,25,11,22,36,36,30,12,17,13,30,19,44,48,9,5,9,8,26,26
NANOGP6,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0
DNMBP,612,1387,1795,2953,1832,1691,1447,2780,1464,1280,3876,1798,1763,2974,1348,1136,1487,1414,2033,1473
DNMBP-AS1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0
CPN1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TPM4P1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPCS2P2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ERLIN1,358,6078,1324,1998,1479,3057,2320,5261,680,1076,3253,1595,4859,4220,1099,472,1818,1479,2754,2290
CHUK,250,1529,654,788,735,684,839,1325,405,492,1401,566,1423,1539,572,336,727,678,1118,833
RP11-316M21.7,13,10,12,4,9,5,6,7,14,13,7,10,19,11,7,15,16,11,12,13
RP11-316M21.6,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1
CWF19L1,1172,1930,1366,1319,1256,1413,1159,1253,1450,1312,1836,1212,1924,1303,951,1051,1181,919,1481,1546
PHBP9,4,0,2,0,0,0,4,4,2,0,0,0,1,1,0,1,0,2,0,0
BLOC1S2,924,2136,2223,2390,1707,1994,2321,2990,1536,1984,3112,1817,2605,3640,1463,1243,2141,2076,2458,2265
PKD2L1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0
RP11-34D15.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SCD,1907,5528,5144,2760,4353,3226,1904,5039,5406,4852,6463,4590,4051,5138,3037,3729,4386,5352,4808,2736
OLMALINC,24,66,44,46,37,52,26,60,47,29,89,46,54,41,36,42,32,33,57,80
